State,Dates,cases,deaths,population,new_cases,new_deaths
CA,2022-05-30,8967578,90624,39512223,16380.0,90.0
CA,2022-05-31,8973066,90626,39512223,5488.0,2.0
CA,2022-06-01,8984553,90627,39512223,11487.0,1.0
CA,2022-06-02,8986351,90627,39512223,1798.0,0.0
CA,2022-06-03,8986351,90627,39512223,0.0,0.0
CA,2022-06-04,8986351,90627,39512223,0.0,0.0
CA,2022-06-05,8986351,90627,39512223,0.0,0.0
CA,2022-06-06,9055331,90702,39512223,68980.0,75.0
CA,2022-06-07,9055331,90702,39512223,0.0,0.0
CA,2022-06-08,9055331,90702,39512223,0.0,0.0
CA,2022-06-09,9055331,90702,39512223,0.0,0.0
CA,2022-06-10,9102971,90819,39512223,47640.0,117.0
CA,2022-06-11,9102971,90819,39512223,0.0,0.0
CA,2022-06-12,9164713,90918,39512223,61742.0,99.0
CA,2022-06-13,9165736,90918,39512223,1023.0,0.0
CA,2022-06-14,9193261,91045,39512223,27525.0,127.0
CA,2022-06-15,9196709,91047,39512223,3448.0,2.0
CA,2022-06-16,9197044,91047,39512223,335.0,0.0
CA,2022-06-17,9246101,91120,39512223,49057.0,73.0
CA,2022-06-18,9267947,91216,39512223,21846.0,96.0
CA,2022-06-19,9276584,91220,39512223,8637.0,4.0
CA,2022-06-20,9283482,91223,39512223,6898.0,3.0
CA,2022-06-21,9297497,91224,39512223,14015.0,1.0
CA,2022-06-22,9307644,91227,39512223,10147.0,3.0
CA,2022-06-23,9309511,91227,39512223,1867.0,0.0
CA,2022-06-24,9354384,91327,39512223,44873.0,100.0
CA,2022-06-25,9367093,91328,39512223,12709.0,1.0
CA,2022-06-26,9372345,91328,39512223,5252.0,0.0
CA,2022-06-27,9373713,91328,39512223,1368.0,0.0
CA,2022-06-28,9373713,91328,39512223,0.0,0.0
CA,2022-06-29,9456971,92114,39512223,83258.0,786.0
CA,2022-06-30,9476666,92144,39512223,19695.0,30.0
CA,2022-07-01,9494713,92179,39512223,18047.0,35.0
CA,2022-07-02,9512502,92212,39512223,17789.0,33.0
CA,2022-07-03,9523848,92258,39512223,11346.0,46.0
CA,2022-07-04,9533572,92300,39512223,9724.0,42.0
CA,2022-07-05,9543438,92343,39512223,9866.0,43.0
CA,2022-07-06,9570435,92374,39512223,26997.0,31.0
CA,2022-07-07,9593304,92415,39512223,22869.0,41.0
CA,2022-07-08,9614342,92444,39512223,21038.0,29.0
CA,2022-07-09,9634424,92496,39512223,20082.0,52.0
CA,2022-07-10,9647777,92540,39512223,13353.0,44.0
CA,2022-07-11,9615061,91867,39512223,-32716.0,-673.0
CA,2022-07-12,9615061,91867,39512223,0.0,0.0
CA,2022-07-13,9615061,91867,39512223,0.0,0.0
CA,2022-07-14,9711102,92101,39512223,96041.0,234.0
CA,2022-07-15,9727151,92104,39512223,16049.0,3.0
CA,2022-07-16,9751991,92247,39512223,24840.0,143.0
CA,2022-07-17,9762939,92255,39512223,10948.0,8.0
CA,2022-07-18,9771309,92264,39512223,8370.0,9.0
CA,2022-07-19,9789165,92275,39512223,17856.0,11.0
CA,2022-07-20,9799174,92275,39512223,10009.0,0.0
CA,2022-07-21,9801031,92276,39512223,1857.0,1.0
CA,2022-07-22,9849206,92399,39512223,48175.0,123.0
CA,2022-07-23,9860609,92401,39512223,11403.0,2.0
CA,2022-07-24,9865492,92401,39512223,4883.0,0.0
CA,2022-07-25,9866941,92401,39512223,1449.0,0.0
CA,2022-07-26,9866941,92401,39512223,0.0,0.0
CA,2022-07-27,9934926,92681,39512223,67985.0,280.0
CA,2022-07-28,9949683,92687,39512223,14757.0,6.0
CA,2022-07-29,9961089,92691,39512223,11406.0,4.0
CA,2022-07-30,9971697,92691,39512223,10608.0,0.0
CA,2022-07-31,9976322,92691,39512223,4625.0,0.0
CA,2022-08-01,9977430,92691,39512223,1108.0,0.0
CA,2022-08-02,10009234,92852,39512223,31804.0,161.0
CA,2022-08-03,10017676,92854,39512223,8442.0,2.0
CA,2022-08-04,10019355,92854,39512223,1679.0,0.0
CA,2022-08-05,10052878,92990,39512223,33523.0,136.0
CA,2022-08-06,10061767,92992,39512223,8889.0,2.0
CA,2022-08-07,10065854,92992,39512223,4087.0,0.0
CA,2022-08-08,10066835,92992,39512223,981.0,0.0
CA,2022-08-09,10091609,93157,39512223,24774.0,165.0
CA,2022-08-10,10098507,93161,39512223,6898.0,4.0
CA,2022-08-11,10099888,93161,39512223,1381.0,0.0
CA,2022-08-12,10129369,93328,39512223,29481.0,167.0
CA,2022-08-13,10136589,93329,39512223,7220.0,1.0
CA,2022-08-14,10140188,93329,39512223,3599.0,0.0
CA,2022-08-15,10141002,93329,39512223,814.0,0.0
CA,2022-08-16,10163679,93506,39512223,22677.0,177.0
CA,2022-08-17,10169524,93511,39512223,5845.0,5.0
CA,2022-08-18,10170725,93511,39512223,1201.0,0.0
CA,2022-08-19,10196302,93652,39512223,25577.0,141.0
CA,2022-08-20,10202934,93652,39512223,6632.0,0.0
CA,2022-08-21,10206034,93652,39512223,3100.0,0.0
CA,2022-08-22,10206820,93652,39512223,786.0,0.0
CA,2022-08-23,10226741,93850,39512223,19921.0,198.0
CA,2022-08-24,10231855,93851,39512223,5114.0,1.0
CA,2022-08-25,10232953,93851,39512223,1098.0,0.0
CA,2022-08-26,10254432,93923,39512223,21479.0,72.0
CA,2022-08-27,10260005,93924,39512223,5573.0,1.0
CA,2022-08-28,10262420,93924,39512223,2415.0,0.0
CA,2022-08-29,10263114,93924,39512223,694.0,0.0
CA,2022-08-30,10263114,93924,39512223,0.0,0.0
CA,2022-08-31,10285228,94044,39512223,22114.0,120.0
CA,2022-09-01,10286359,94044,39512223,1131.0,0.0
CA,2022-09-02,10286359,94044,39512223,0.0,0.0
CA,2022-09-03,10286359,94044,39512223,0.0,0.0
